"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene","external_gene_name","chromosome_name","start_position","end_position","strand","gene_biotype","description"
"1","ENSG00000000003",1169.33427499225,0.396611143865979,0.389565957368287,1.01808470777397,0.308637702015146,0.861258391979985,7105,"TSPAN6","X",100627109,100639991,-1,"protein_coding","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"2","ENSG00000000419",785.541121651962,0.255319137224669,0.404362191382977,0.63141199317236,0.527771176250565,0.954031092239138,8813,"DPM1","20",50934867,50958555,-1,"protein_coding","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"3","ENSG00000000457",275.178600142755,-0.175793327450816,0.210175083495939,-0.83641373909202,0.402922186028166,0.908503055474471,57147,"SCYL3","1",169849631,169894267,-1,"protein_coding","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
"4","ENSG00000000460",78.7815191977961,-0.277918633175664,0.249894760647195,-1.11214269741347,0.266076801042246,0.832578086435702,55732,"C1orf112","1",169662007,169854080,1,"protein_coding","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]"
"5","ENSG00000000971",3858.20116122575,-0.336283402788542,0.829573539042319,-0.405369008245798,0.685206288208211,0.984027827411291,3075,"CFH","1",196651878,196747504,1,"protein_coding","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"6","ENSG00000001036",2354.882449366,0.0976383659434486,0.200555261662009,0.486840211193243,0.626371571692145,0.979208061959314,2519,"FUCA2","6",143494811,143511690,-1,"protein_coding","alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]"
"7","ENSG00000001084",828.331499880403,0.140188353838078,0.417194017988495,0.336026759237818,0.736850687604984,0.986960470848583,2729,"GCLC","6",53497341,53616970,-1,"protein_coding","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"8","ENSG00000001167",676.495046275864,-0.0765492487908211,0.213416807750003,-0.358684255461692,0.719831308021346,0.986332405851015,4800,"NFYA","6",41072945,41099976,1,"protein_coding","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]"
"9","ENSG00000001460",261.249697815273,0.0572425336993002,0.191238840813265,0.299324830959389,0.764692210234474,0.987786355163825,90529,"STPG1","1",24356999,24416934,-1,"protein_coding","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]"
"10","ENSG00000001461",1525.95062882076,-0.021194641228931,0.243029216815629,-0.0872102601762899,0.930504383990516,0.998062892032955,57185,"NIPAL3","1",24415802,24472976,1,"protein_coding","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
"11","ENSG00000001497",1102.32328389171,-0.347484153050025,0.240108152157431,-1.44719848088369,0.147841341906673,0.684293462396247,81887,"LAS1L","X",65512582,65534775,-1,"protein_coding","LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"
"12","ENSG00000001561",449.663812839388,-0.168694454672842,0.825230153029838,-0.204421098833433,0.838024443804627,0.991791951222494,22875,"ENPP4","6",46129989,46146688,1,"protein_coding","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
"13","ENSG00000001617",1291.33720222118,0.12938234690917,0.495350573523648,0.261193493708539,0.79394329528923,0.988155310850255,6405,"SEMA3F","3",50155045,50189075,1,"protein_coding","semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
"14","ENSG00000001626",26.669643930703,-1.82532754221643,1.27522355311205,-1.43137847302295,0.152321774579735,0.689132430608892,1080,"CFTR","7",117465784,117715971,1,"protein_coding","cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]"
