"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene","external_gene_name","chromosome_name","start_position","end_position","strand","gene_biotype","description"
"1","ENSG00000000003",622.429474027611,0.0971995188822759,0.13340317100554,0.728614755928398,0.466237349713075,0.646271111985791,7105,"TSPAN6","X",100627109,100639991,-1,"protein_coding","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"2","ENSG00000000419",285.641238502134,0.0205062682419728,0.0741655410326724,0.276493206365731,0.782169276891662,0.880487981838097,8813,"DPM1","20",50934867,50958555,-1,"protein_coding","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"3","ENSG00000000457",178.871683722713,-0.070347749251092,0.103359191885816,-0.680614350476027,0.496115544166749,0.671705806907283,57147,"SCYL3","1",169849631,169894267,-1,"protein_coding","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
"4","ENSG00000000460",113.188323871418,-0.602355981258955,0.242703643074311,-2.481858012632,0.0130699343114123,0.0535460724235858,55732,"C1orf112","1",169662007,169854080,1,"protein_coding","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]"
"5","ENSG00000000971",424.19345194252,-0.543581092138111,0.343855679246825,-1.58084081475333,0.113914439693988,0.250560240266369,3075,"CFH","1",196651878,196747504,1,"protein_coding","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"6","ENSG00000001036",276.504434933425,-0.003332144304169,0.107746818302154,-0.0309256863142323,0.975328805000875,0.988542735419758,2519,"FUCA2","6",143494811,143511690,-1,"protein_coding","alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]"
"7","ENSG00000001084",319.370787388478,0.460026633055473,0.108930067169593,4.22313733029521,2.4092491528975e-05,0.000386549962437603,2729,"GCLC","6",53497341,53616970,-1,"protein_coding","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"8","ENSG00000001460",128.444970596094,0.33695927326743,0.226587662866442,1.48710335331031,0.136987516026534,0.28406250018077,90529,"STPG1","1",24356999,24416934,-1,"protein_coding","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]"
"9","ENSG00000001461",1893.94995901602,0.261469992186691,0.301076180674607,0.868451272368435,0.385147336716816,0.571326736842743,57185,"NIPAL3","1",24415802,24472976,1,"protein_coding","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
"10","ENSG00000001497",500.879730245494,-0.224174695416493,0.0887374386430068,-2.52626962018088,0.0115280970024464,0.0486440702870489,81887,"LAS1L","X",65512582,65534775,-1,"protein_coding","LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"
"11","ENSG00000001561",191.111162899023,0.45698629644747,0.333305474923843,1.37107347712151,0.170352052029567,0.329495759692328,22875,"ENPP4","6",46129989,46146688,1,"protein_coding","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
"12","ENSG00000001617",302.780892651772,-0.364848323116818,0.312988408928167,-1.16569276276475,0.243738687313022,0.423059700729347,6405,"SEMA3F","3",50155045,50189075,1,"protein_coding","semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
"13","ENSG00000001629",1615.16863632915,0.0549719469305545,0.0589909776498569,0.931870416809202,0.351403497799095,0.538129169413028,54467,"ANKIB1","7",92245974,92401383,1,"protein_coding","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]"
